parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1016670042,1,1667,42,5114,2026,3,2006,NA,NA,0,421A 25 YR NO CAP,22,25,2030,21,No,No
1016720017,1,1672,17,5116,2026,3,2006,NA,NA,0,421A 20 YR NO CAP,13,20,2025,Expired,No,NA
1016740049,1,1674,49,5121,2026,3,2024,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2058,3,Yes,NA
1016760026,1,1676,26,5114,2026,3,2010,NA,NA,0,421A 25 YR NO CAP,22,25,2034,17,No,No
1016800148,1,1680,148,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1016810031,1,1681,31,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1016830043,1,1683,43,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1016880002,1,1688,2,5114,2021,3,2012,NA,NA,0,421A 25 YR NO CAP,22,25,2036,15,No,No
1016880030,1,1688,30,5121,2026,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1016890001,1,1689,1,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1017080022,1,1708,22,5114,2026,3,2008,NA,NA,0,421A 25 YR NO CAP,22,25,2032,19,No,No
1017080033,1,1708,33,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1017110006,1,1711,6,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1017110026,1,1711,26,5118,2026,3,2019,NA,NA,0,421A 15 YR CAP,12,15,2033,8,No,No
1017110044,1,1711,44,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1017110111,1,1711,111,5114,2026,3,2016,NA,NA,0,421A 25 YR NO CAP,22,25,2040,11,No,No
1017160051,1,1716,51,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
